output_repo_commit_message	output_repo_branch	output_repo_commit_hash	project_repo_branch	project_repo_commit_hash	project_repo_directory_name	project_repo_remotes	python_sys_args	tags	options_hash	command
Process example; 	2025-05-14_09-59-29_main_7561922	5d0fdb9d77bfb443bc99dccee0cd9661f7e87887	main	75619222df8330f00367c4bf177bb98b75416994	RDM-Example-GRM-For-Linear-LC	['git@github.com:cadet/RDM-Example-Rectangular-Pulse.git']	['main.py']		f5ywb884bh4krchb69pytjjbzrranvww	
Process example; 	2025-05-14_11-47-33_main_2a4e42f	4192f709bb1cec528157563069935e3c2d48f0a3	main	2a4e42f79fb788a0167d96899df0743dc7f788e8	RDM-Example-Rectangular-Pulse	['git@github.com:cadet/RDM-Example-Rectangular-Pulse.git']	['main.py']		f5ywb884bh4krchb69pytjjbzrranvww	
Process example; 	2025-07-22_10-58-49_main_88b45d0	228302cc80cf33a8720cdc5867959f35a2b20a0e	main	88b45d0de9950f80201e0d73f23278ad42800301	RDM-Example-Rectangular-Pulse	['git@github.com:cadet/RDM-Example-Rectangular-Pulse.git']	['main.py']		f5ywb884bh4krchb69pytjjbzrranvww	
Commit Message Test; 	2025-07-22_11-06-43_main_a265766	43f9cce9731e5a645727aebcf076f0c136b8dd38	main	a265766e06d71b99931dc9b7b2d8040fcc4ac64e	RDM-Example-Rectangular-Pulse	['git@github.com:cadet/RDM-Example-Rectangular-Pulse.git']	['main.py']		f5ywb884bh4krchb69pytjjbzrranvww	
Commit Message Test; 	2025-07-22_12-35-33_main_a265766	7e4f4ac645cfba458e78c497bd13d8f7e29238bb	main	a265766e06d71b99931dc9b7b2d8040fcc4ac64e	RDM-Example-Rectangular-Pulse	['git@github.com:cadet/RDM-Example-Rectangular-Pulse.git']	['/home/IBT/lanzrath/CADET/Katha_CaseStudies/RDM-Example-Rectangular-Pulse/main.py']		f5ywb884bh4krchb69pytjjbzrranvww	
Commit Message Test; 	2025-07-22_12-40-03_main_2318067	4650449f114a6e43936f22c6222bb278529de5aa	main	23180670fbf56440405d2d7c1f48e61e1c68fccc	RDM-Example-Rectangular-Pulse	['git@github.com:cadet/RDM-Example-Rectangular-Pulse.git']	['/home/IBT/lanzrath/CADET/Katha_CaseStudies/RDM-Example-Rectangular-Pulse/main.py']		f5ywb884bh4krchb69pytjjbzrranvww	
Commit Message Test; 	2025-07-22_12-41-14_main_2318067	9158edb97eade32b141104127382d2cb26bd5e7d	main	23180670fbf56440405d2d7c1f48e61e1c68fccc	RDM-Example-Rectangular-Pulse	['git@github.com:cadet/RDM-Example-Rectangular-Pulse.git']	['/home/IBT/lanzrath/CADET/Katha_CaseStudies/RDM-Example-Rectangular-Pulse/main.py']		f5ywb884bh4krchb69pytjjbzrranvww	
Commit Message Test; 	Experiment_A_2025-07-22_15-18-45_finalize_example_df2bacc	aaa672e048a082935483b9c02b81672a47adeebe	2025-07-22	df2bacca575aab0dab0601767a9c53e172987743	RDM-Example-Rectangular-Pulse	['git@github.com:cadet/RDM-Example-Rectangular-Pulse.git']	['main.py']		f5ywb884bh4krchb69pytjjbzrranvww	
Commit Message Test; 	2025-07-22_15-26-18_finalize_example_f97af80	562f72d78237b8b4f0ddd2fa84cff80d9e0d13df	finalize	f97af805a6859bb6c0b7bd6329f2c9b38fcbc083	RDM-Example-Rectangular-Pulse	['git@github.com:cadet/RDM-Example-Rectangular-Pulse.git']	['main.py']		f5ywb884bh4krchb69pytjjbzrranvww	
Commit Message Test; 	2025-07-22_16-44-11_finalize_example_df2bacc	26388c1ad82091c333acbb70a4efeba716063520	finalize	df2bacca575aab0dab0601767a9c53e172987743	RDM-Example-Rectangular-Pulse	['git@github.com:cadet/RDM-Example-Rectangular-Pulse.git']	['main.py']		f5ywb884bh4krchb69pytjjbzrranvww	
